"all_restaurant","safety","taste","clean","service","speed","price"
"Pastucci's",0.942148760330578,0.297709923664122,0.863849765258216,0.977777777777778,0.92962962962963,0.387387387387387
"Michelson & Morley",0.677685950413223,0.198473282442748,0.615023474178404,0.574074074074074,0.0555555555555556,0.869369369369369
"Honey Baked Ham Company",0.714876033057851,0.67175572519084,0.983568075117371,0.95,0.318518518518519,NA
"Hounds Hotdogs & Gyros",0.388429752066116,0.923664122137405,NA,0.855555555555556,0.774074074074074,0.342342342342342
"Roy's By the Tracks",NA,NA,NA,0.874074074074074,NA,NA
"Quaker Steak & Lube",0.0702479338842975,0.293893129770992,0.746478873239437,0.703703703703704,0.811111111111111,0.346846846846847
"Pirollo's Delicatessen & Take-Out",0.987603305785124,0.99236641221374,NA,0.422222222222222,NA,NA
"BRGR",NA,0.0362595419847328,0.0140845070422535,0.261111111111111,0.122222222222222,NA
"Grecian Isles",0.892561983471074,0.0114503816793893,0.990610328638498,0.796296296296296,NA,NA
"MOD Pizza",0.774793388429752,0.740458015267176,0.488262910798122,0.848148148148148,0.859259259259259,0.779279279279279
"Noodles & Company",0.413223140495868,0.118320610687023,0.103286384976526,0.518518518518518,0.574074074074074,0.328828828828829
"Mashiso Asian Grille",0.834710743801653,0.744274809160305,0.779342723004695,0.614814814814815,0.885185185185185,0.783783783783784
"Pizza Ephesus",0.363636363636364,0.599236641221374,0.370892018779343,0.351851851851852,0.496296296296296,0.486486486486487
"Phuel Cafe",0.822314049586777,0.866412213740458,0.469483568075117,0.718518518518519,0.396296296296296,0.301801801801802
"Skyline Chili",0.289256198347107,0.408396946564886,0.826291079812207,0.744444444444444,0.785185185185185,0.711711711711712
"Piada Italian Street Food",0.475206611570248,0.393129770992366,0.417840375586854,0.277777777777778,0.548148148148148,0.59009009009009
"Pedros Pedros",0.15702479338843,0.0877862595419847,0.206572769953052,0.0296296296296296,0.418518518518519,0.0405405405405405
"Olive Garden Italian Restaurant",0.276859504132231,0.267175572519084,0.197183098591549,0.503703703703704,0.0296296296296296,0.220720720720721
"Mars Bar & Cafe",0.533057851239669,0.374045801526718,NA,0.762962962962963,0.488888888888889,0.63963963963964
"South Philly Steak & Fries",0.743801652892562,0.50381679389313,0.0985915492957746,0.0185185185185185,0.00740740740740741,NA
"Big J J Fish & Chicken",0.264462809917355,0.786259541984733,0.234741784037559,0.937037037037037,0.262962962962963,0.873873873873874
"Mr Hoagie",0.933884297520661,0.183206106870229,0.863849765258216,0.881481481481482,0.711111111111111,0.193693693693694
"Johnny J's Pub & Grille",0.132231404958678,0.16412213740458,0.610328638497653,0.5,0.622222222222222,0.472972972972973
"Roly Poly",0.814049586776859,0.751908396946565,0.563380281690141,0.807407407407407,0.862962962962963,0.621621621621622
"George's Chicken and Fish",NA,0.412213740458015,0.762910798122066,0.896296296296296,0.203703703703704,0.905405405405405
"Cooper Deli",NA,NA,NA,NA,0.996296296296296,0.918918918918919
"A&W Restaurant",0.520661157024793,0.343511450381679,0.915492957746479,0.296296296296296,0.537037037037037,0.279279279279279
"Hazel's Family Restaurant",0.578512396694215,0.103053435114504,0.727699530516432,0.944444444444444,0.114814814814815,NA
"Pedro's Pedro's",0.867768595041322,0.00381679389312977,NA,0.0037037037037037,0.477777777777778,0.045045045045045
"Hms Host Great Lakes Plaza",NA,0.748091603053435,0.995305164319249,0.144444444444444,0.27037037037037,NA
"Cousins Subs",NA,0.946564885496183,NA,0.0333333333333333,0.962962962962963,0.932432432432432
"Shake Shack",0.371900826446281,0.874045801526718,0.507042253521127,0.803703703703704,0.740740740740741,0.463963963963964
"Pittsburgh International Airport",0.0371900826446281,0.152671755725191,0.845070422535211,0.540740740740741,0.566666666666667,0.310810810810811
"Ohio Kabob Grill",0.87603305785124,0.969465648854962,0.502347417840376,0.781481481481481,0.544444444444444,0.414414414414414
"Pita Pit- Fairview Park",0.913223140495868,0.645038167938931,0.892018779342723,0.892592592592593,0.914814814814815,0.738738738738739
"Derald's",0.0991735537190083,0.83969465648855,NA,0.281481481481481,0.796296296296296,0.702702702702703
"Bombay Gyro's and Lunch Box",0.566115702479339,0.759541984732824,0.323943661971831,0.344444444444444,0.737037037037037,NA
"On Tap",0.202479338842975,0.148854961832061,0.0938967136150235,0.385185185185185,0.425925925925926,0.351351351351351
"Jordandal Cookhouse",0.830578512396694,0.824427480916031,0.47887323943662,0.659259259259259,0.525925925925926,0.864864864864865
"Old Fashion Hot Dogs",0.177685950413223,0.438931297709924,0.300469483568075,0.640740740740741,0.637037037037037,0.72972972972973
"Yovi's",0.706611570247934,0.83587786259542,0.727699530516432,0.837037037037037,0.825925925925926,0.815315315315315
"Toast",0.760330578512397,0.843511450381679,NA,0.844444444444444,0.651851851851852,0.135135135135135
"MOOYAH Burgers Fries & Shakes",0.384297520661157,0.454198473282443,0.248826291079812,0.466666666666667,0.692592592592593,0.0900900900900901
"Famous Gyro George",0.797520661157025,0.49618320610687,0.00469483568075117,0.514814814814815,0.314814814814815,0.364864864864865
"Which Wich",0.460743801652893,0.477099236641221,NA,0.681481481481481,0.12962962962963,0.0495495495495495
"Taco Bell Cantina",0.43801652892562,0.32824427480916,0.23943661971831,0.233333333333333,0.507407407407407,0.252252252252252
"Asia Tea House",0.615702479338843,0.190839694656489,NA,0.507407407407407,0.696296296296296,0.554054054054054
"Sports Fanatics",0.483471074380165,0.564885496183206,0.535211267605634,0.688888888888889,0.103703703703704,NA
"Au Bon Pain",0.892561983471074,0.984732824427481,NA,0.0148148148148148,0.237037037037037,NA
"Sonic",0.012396694214876,NA,NA,NA,0.322222222222222,0.97972972972973
"Wienerschnitzel",NA,0.366412213740458,0.7981220657277,0.833333333333333,0.788888888888889,0.216216216216216
